url;external_sku;name;length;dimension;weight;Meters;Dealer;Distributor;;Commodity codes;GTIN-13;Kategoria;GTIN-14;Ilość w domu;
;200299;;;31*31*31;0,27;;;;;8507600090;3564092002993;Inne;3564093002992;;
;200300;;;34,5*29*24,5;0,69;;;;;8507600090;3564092003006;Inne;3564093003005;;
;200301;;;34,5*29*24,5;1,15;;;;;8507600090;3564092003013;Inne;3564093003012;;
;200302;;;36*25*23;2,32;;;;;8507600090;3564092003020;Inne;3564093003029;;
;200303;;;27*18*26;0,5;;;;;8507600090;3564092003037;Inne;3564093003036;;
;200304;;;36*25*23;0,96;;;;;8507600090;3564092003044;Inne;3564093003043;;
;200305;AL-HU01;HSQ OEM: 574 47 68-01 (105 / 305 / 308);51*40*23;0,25;HSQ OEM: 574 47 68-01 (105 / 305 / 308);39;33;;8507600090;3564092003051;Inne;3564093003050;0;
;200306;AL-HU06;HUSQVARNA OEM: 589 58 61-01 (105 / 305 / 308);51*40*23;0,25;HUSQVARNA OEM: 589 58 61-01 (105 / 305 / 308);55;47;;8507600090;3564092003068;Inne;3564093003067;0;
;200307;AL-HU02;HSQ OEM: 584 82 28-02 (310 / 315 / 315X 2015>2018);32*15*28;0,25;HSQ OEM: 584 82 28-02 (310 / 315 / 315X 2015>2018);47;40;;8507600090;3564092003075;Inne;3564093003074;0;
;200308;AL-HU03;HSQ OEM: 589 58 52-01 (320 2013 ->, 330X 2013 ->, 420 2016 ->, 520 2018 ->);31*31*31;0,49;HSQ OEM: 589 58 52-01 (320 2013 ->, 330X 2013 ->, 420 2016 ->, 520 2018 ->);61;52;;8507600090;3564092003082;Inne;3564093003081;0;
;200309;AL-HU04;HSQ OEM: 589 58 57-01 (430X (2016>) , 440 (2017 >), 450X (2016>), 550 (2018>);31*31*31;0,49;HSQ OEM: 589 58 57-01 (430X (2016>) , 440 (2017 >), 450X (2016>), 550 (2018>);67;57;;8507600090;3564092003099;Inne;3564093003098;0;
;200310;AL-HU05;HUSQVARNA OEM: 540 05 96-01 (220AC, 230ACX, 265ACX);31*31*31;0,85;HUSQVARNA OEM: 540 05 96-01 (220AC, 230ACX, 265ACX);39;33;;85075000;3564092003105;Inne;3564093003104;0;
