catalog_product_attribute.external_sku;catalog_product_attribute.short_description;catalog_product_attribute.description
200299;<p>TODO</p>;<p>TODO</p>
29330156;<p>TODO</p>;<p>TODO</p>
29330162;<p>TODO</p>;<p>TODO</p>
39734588;<p>TODO</p>;<p>TODO</p>
53541698;<p>TODO</p>;<p>TODO</p>
53972374;<p>TODO</p>;<p>TODO</p>
53972375;<p>TODO</p>;<p>TODO</p>
54691276;<p>TODO</p>;<p>TODO</p>
57504142;<p>TODO</p>;<p>TODO</p>
200300;"<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed""><strong class=""font-bold text-gray-900"">Akumulatory AXCELL Robot to kompatybilne typy akumulatorów zbudowane zgodnie ze specyfikacjami OE.</strong></p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Dostępne w różnych technologiach (NiMH, Li-Ion lub LiFePo4), akumulatory te są przeznaczone do intensywnego ładowania i rozładowywania oraz opracowane z najwyższej klasy funkcjami bezpieczeństwa. Idealne do zapewnienia robotowi dużej autonomii podczas pracy!</p>
<h3 class=""text-lg font-semibold mb-2 text-gray-900"">Korzyści:</h3>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Kompatybilny typ akumulatora - zgodny ze specyfikacją OE</p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Wysoka żywotność - wysokiej jakości ogniwa litowe</p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Niski poziom samorozładowania - Długi okres trwałości i idealny do użytku sezonowego</p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Montaż w wielu pozycjach - nawet do góry nogami</p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Obejmuje większość parków - Obejmuje ponad 200 modeli robotów</p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Wyposażony w najwyższej klasy funkcje bezpieczeństwa - zintegrowany BMS</p>";"<h2 class=""text-2xl font-bold mb-4 text-gray-900"">Opis</h2>

<p class=""mb-4 text-gray-700 leading-relaxed""><strong class=""font-bold text-gray-900"">Specyfikacje:</strong> Napięcie: 25,2V. Pojemność: 5AH. Moc: 126WH</p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Funkcja zabezpieczeń (PMC): Zabezpieczenie przed przeładowaniem, zabezpieczenie przed nadmiernym rozładowaniem, zabezpieczenie nadprądowe, zabezpieczenie temperaturowe, funkcja równoważenia.</p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Temperatura pracy: Temperatura ładowania: 0C do 45C. Temperatura rozładowania: -10C do 60C. Temperatura przechowywania: 0C do 40C</p>
<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">Wymiary i waga: Długość (L): 128mm (+/- 2mm). Szerokość (W): 69mm (+/- 2mm). Wysokość (H): 50 mm (+/- 2 mm). Waga: 0,69 kg.</p>

<p class=""mb-4 text-gray-700 leading-relaxed mb-4 text-gray-700 leading-relaxed"">1 rok gwarancji</p>"
