sku;url;external_sku;name;length;dimension;weight;Meters;Dealer;Distributor;Inne;"Commodity codes";GTIN-13;Kategoria;GTIN-14;"Ilość w domu";Puste
AMROBOTSS001;BRAK;200299;BRAK;BRAK;31*31*31;0.27;0;0;0;BRAK;8507600090;3564092002993;Inne;3564093002992;0;BRAK
AMROBOTSC001;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293547;"3,4 mm Zielony standardowy przewód graniczny";;34*34*16;0.5;50;11.05;9;BRAK;8544492000;5744003721580;Przewody;BRAK;1;BRAK
AMROBOTSC001-50m;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293547;"3,4 mm Zielony standardowy przewód graniczny-50m";50m;34*34*16;0.5;50;11.05;9;BRAK;8544492000;5744003721580;Przewody;BRAK;1;BRAK
AMROBOTSC001-5m;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293538;"3,4 mm Zielony standardowy przewód graniczny-5m";5m;BRAK;0;5;2.975;2.43;BRAK;8544492000;5744003721610;Przewody;BRAK;0;BRAK
AMROBOTSC001-25m;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293542;"3,4 mm Zielony standardowy przewód graniczny-25m";25m;BRAK;0;25;5.95;4.5;BRAK;8544492000;5744003721627;Przewody;BRAK;1;BRAK
AMROBOTSC001-100m;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293548;"3,4 mm Zielony standardowy przewód graniczny-100m";100m;26*26*15;1.5;100;20.4;15.3;BRAK;8544492000;5744003720798;Przewody;15744003720795;0;BRAK
AMROBOTSC001-150m;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293549;"3,4 mm Zielony standardowy przewód graniczny-150m";150m;27*27*15;2;150;28.5;19.8;BRAK;8544492000;5744003720804;Przewody;15744003720801;1;BRAK
AMROBOTSC001-250m;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293551;"3,4 mm Zielony standardowy przewód graniczny-250m";250m;26,5*26,5*25;3.1;250;37.4;31.5;BRAK;8544492000;5744003720811;Przewody;15744003720818;1;BRAK
AMROBOTSC001-500m;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293556;"3,4 mm Zielony standardowy przewód graniczny-500m";500m;28*28*15,5;6;500;78;65;BRAK;8544492000;5744003720828;Przewody;BRAK;1;BRAK
AMROBOTSC001-800m;https://am-robots.com/pl/shop/cable/standard-cable/standard-cable-34-mm/;10293562;"3,4 mm Zielony standardowy przewód graniczny-800m";800m;28*28*22.5;10;800;141.1;110;BRAK;8544492000;5744003720835;Przewody;BRAK;0;BRAK
AMROBOTSC002;BRAK;29330156;"3,8mm Black Premium Safety Cable ";;28*28*20.5;11.6;500;231.2;185;BRAK;8544492000;BRAK;Przewody;BRAK;0;BRAK
AMROBOTSC002-500m;BRAK;29330156;"3,8mm Black Premium Safety Cable -500m";500m;28*28*20.5;11.6;500;231.2;185;BRAK;8544492000;BRAK;Przewody;BRAK;0;BRAK
AMROBOTSC002-800m;BRAK;29330162;"3,8mm Black Premium Safety Cable -800m";800m;31*31*24.5;18.5;800;369.75;296;BRAK;8544492000;BRAK;Przewody;BRAK;0;BRAK
